	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/3/2011	 0.04	  $            135,722	 1939	  $                  931	  	  
3/4/2011	 -0.27	  $            136,652	 1952	  $            (6,325)	  	  
 	  	  $            130,327	  	  	  $      (15,793)	 -11%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/7/2011	 -0.18	  $            130,327	 1862	  $            (4,022)	  	  
3/8/2011	 -0.05	  $            126,306	 1804	  $            (1,083)	  	  
3/9/2011	 0.17	  $            125,223	 1789	  $              3,649	  	  
3/10/2011	 -0.05	  $            128,873	 1841	  $            (1,105)	  	  
3/11/2011	 -0.50	  $            127,768	 1825	  $         (10,952)	  	  
 	  	  $            116,816	  	  	  $      (13,511)	 -10%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/14/2011	 -0.16	  $            116,816	 1669	  $            (3,204)	  	  
3/15/2011	 -0.52	  $            113,612	 1623	  $         (10,128)	  	  
3/16/2011	 -0.52	  $            103,485	 1478	  $            (9,225)	  	  
3/17/2011	 0.57	  $              94,260	 1347	  $              9,211	  	  
3/18/2011	 -0.32	  $            103,470	 1478	  $            (5,676)	  	  
 	  	  $              97,794	  	  	  $      (19,022)	 -16%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/21/2011	 0.26	  $              97,794	 1397	  $              4,359	  	  
3/22/2011	 0.01	  $            102,153	 1459	  $                  175	  	  
3/23/2011	 0.61	  $            102,328	 1462	  $            10,701	  	  
3/24/2011	 0.27	  $            113,029	 1615	  $              5,232	  	  
3/25/2011	 -0.17	  $            118,260	 1689	  $            (3,446)	  	  
 	  	  $            114,814	  	  	  $        17,020	 17%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
3/28/2011	 -0.18	  $            114,814	 1640	  $            (3,543)	  	  
3/29/2011	 0.18	  $            111,271	 1590	  $              3,434	  	  
3/30/2011	 0.10	  $            114,704	 1639	  $              1,966	  	  
3/31/2011	 0.16	  $            116,671	 1667	  $              3,200	  	  
4/1/2011	 -0.10	  $            119,871	 1712	  $            (2,055)	  	  
 	  	  $            117,816	  	  	  $          3,002	 3%
 	 	 	 	 	 	 
 	 QQQ Gain	 Account Size	 Num Shares	 Net Gain/Loss	 $ Gain	 % Gain
